gameId,name,won,kills,damageDealt,damageTaken,roundsSurvived,timesStuck,reward,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
1764924672,Reaper_1,0,0,48,97,3,0,1.4,1.60165,0.827103,1.00954,1.21736,0.878912,0.63339,0.495698,1.10705,0.670303,0.927792,0.815391,0.818903,1.03897,0.656327,1.75729,1.2913,1.15487,0,1.07767
1764924672,Reaper_1,1,4,320,32,1066,1,2658.8,1.15695,1.23087,0.922709,0.84609,0.964003,0.610635,0.593116,0.752477,0.767077,0.650024,0.536184,0.695629,1.70393,0.607142,2.27338,1.2009,0.989932,0,0.772351
1764924673,Reaper_1,1,5,257,36,1464,4,3041.2,1.97994,0.893498,0.958304,1.19194,0.634069,0.859635,0.550101,1.15361,0.865047,1.12718,0.872135,0.625953,1.04176,0.905019,1.05064,1.5178,1.10538,0,0.481192
1764924673,Reaper_1,0,0,169,102,4,0,239.2,1.5835,0.811143,1.39031,1.13253,0.790856,0.57639,0.444406,1.04832,0.49372,0.509636,0.812875,0.711197,1.50713,0.63416,1.3888,1.62097,0.697493,0,1.02133
1764924673,Reaper_1,0,7,514,103,177,1,1964.6,1.6526,0.745617,1.60711,1.07411,1.00023,0.661109,0.645034,1.33302,0.550179,1.05417,0.768484,0.935734,1.82456,0.915158,1.88,1.21373,1.08059,0,0.99842
1764924673,Reaper_1,1,6,368,51,1054,0,2628.2,1.3708,0.859907,1.39526,0.907107,1.00558,0.540212,0.657396,1.0228,1.06697,1.14633,0.760837,0.740501,1.67716,0.718034,1.70832,0.919294,0.962454,0,0.623798
1764924673,Reaper_1,1,2,89,21,1105,3,1335,0.829956,1.0788,1.18731,0.929874,0.855662,0.574249,0.383892,1.28263,0.539676,1.05761,0.898199,0.854082,1.84736,0.473845,1.44432,1.72572,1.00215,0,0.850558
1764924673,Reaper_1,1,5,259,42,1094,0,2251.2,1.3606,1.00466,0.697053,0.955256,0.918082,0.374812,0.733191,0.802218,0.882032,1.14674,0.901574,0.681714,1.61139,0.653206,1.16405,1.13458,0.976625,0,0.647742
1764924673,Reaper_1,1,4,315,5,1198,1169,445.4,2.10681,0.865382,1.2442,0.972743,0.942442,0.438487,0.696053,1.21311,0.888663,0.862578,0.918548,0.668156,2.01783,0.928889,0.961373,1.53017,0.503382,0,0.779966
1764924673,Reaper_1,1,9,611,24,230,1,3580,1.65672,0.958544,1.41809,1.06228,0.890702,0.534685,0.353142,1.14274,0.522887,0.883651,0.526174,0.97981,1.25501,0.759394,1.13577,1.4582,0.857546,0,0.744097
1764924673,Reaper_1,0,1,78,102,31,1,-223.2,1.29751,0.682134,1.06714,0.981085,0.89403,0.795168,0.500131,1.40079,0.882414,0.99974,0.647929,1.0507,1.68887,0.616733,0.940611,1.50829,0.970347,0,0.825651
1764924673,Reaper_1,0,1,141,100,14,0,393.2,1.33439,0.856727,1.62905,1.01432,0.672327,0.670368,0.603628,0.475052,0.6921,1.21671,0.799949,0.736642,1.73035,0.595735,1.34497,1.14355,0.768515,0,0.545872
1764924673,Reaper_1,1,5,454,44,1180,0,2708,1.47736,1.14805,1.07628,0.946188,0.688928,0.749255,0.556661,1.45945,0.726316,1.23863,0.759737,0.957178,1.23207,0.599851,1.92767,0.947463,0.91633,0,0.896571
1764924673,Reaper_1,0,0,96,100,5,0,96,1.78163,0.706966,1.39172,0.664733,0.94792,0.821971,0.594784,0.946529,0.725322,1.03019,0.477893,1.25959,1.46054,0.625446,1.45029,1.51207,1.21211,0,0.808517
1764924674,Reaper_1,1,2,127,10,1055,1,1886,1.36277,0.663574,1.08793,0.78326,0.820704,0.562383,0.552177,1.02761,0.635234,0.839623,0.869102,0.87224,1.86576,0.736311,1.68888,1.8965,0.953419,0,0.685738
1764924674,Reaper_1,0,0,31,100,7,0,-32.4,1.36393,1.05168,1.46685,0.685401,0.786064,0.533783,0.694093,0.955431,0.733961,1.18065,0.707789,1.08212,1.76987,0.693664,1.53219,1.40339,0.990016,0,0.707069
1764924674,Reaper_1,1,5,388,18,1214,0,2629.2,2.1187,0.568975,1.29745,0.763127,0.816442,0.502335,0.491757,1.71028,0.62226,1.3202,0.633602,0.736999,1.75657,0.78779,1.45992,1.26761,1.6017,0,0.819382
1764924674,Reaper_1,1,5,280,23,1132,0,2842.6,1.584,0.9723,0.990674,0.962581,0.644777,0.761195,0.472295,1.00707,0.732431,0.653087,0.560629,0.973936,1.23141,0.721968,1.47528,1.23756,0.923827,0,0.873545
1764924674,Reaper_1,1,4,209,35,1112,0,1972.6,1.50981,0.511099,1.30685,0.87154,0.752422,0.662383,0.655605,1.11536,0.716606,0.600081,0.483019,0.887916,1.26787,0.500464,1.56558,0.967653,1.23236,0,0.933461
1764924674,Reaper_1,1,7,519,54,512,0,2693.6,1.62457,0.925725,1.0617,0.916086,0.647438,0.645061,0.826287,1.40176,0.831394,1.32053,0.842981,0.85533,2.08221,0.674042,1.14237,1.17328,0.95654,0,0.874211
1764924674,Reaper_1,1,6,320,35,1224,0,3184.2,1.39545,0.924133,1.36236,0.706604,1.12938,0.746478,0.763636,1.60404,0.62794,0.83012,0.825704,1.08481,1.44437,0.771085,1.64457,1.07702,1.03493,0,0.904973
