gameId,name,weapon,won,shotsFired,shotsHit,kills,damageDealt,damageTaken,causeOfDeath,roundsSurvived,deathRow,deathCol,timesStuck
1764984118,Reaper_1,S,1,31,37,6,618,52,alive,362,-1,-1,0
1764984118,Reaper_1,S,1,22,25,6,409,22,alive,562,-1,-1,0
1764984118,Reaper_1,S,1,23,29,4,491,82,alive,362,-1,-1,0
1764984118,Reaper_1,S,0,8,11,2,183,98,railgun from Rat_4,15,8,8,0
1764984118,Reaper_1,S,1,8,9,1,153,27,alive,241,-1,-1,0
1764984118,Reaper_1,S,1,15,17,4,294,0,alive,425,-1,-1,0
1764984118,Reaper_1,S,1,26,26,10,399,94,alive,437,-1,-1,0
1764984118,Reaper_1,S,1,36,45,6,758,0,alive,440,-1,-1,0
1764984118,Reaper_1,S,1,23,27,6,428,0,alive,416,-1,-1,0
1764984118,Reaper_1,S,1,38,54,11,889,0,alive,140,-1,-1,0
1764984118,Reaper_1,S,1,25,30,6,488,24,alive,418,-1,-1,0
1764984118,Reaper_1,S,1,22,29,4,478,42,alive,368,-1,-1,0
1764984118,Reaper_1,S,1,30,37,8,623,61,alive,234,-1,-1,0
1764984118,Reaper_1,S,1,34,46,11,794,47,alive,403,-1,-1,0
1764984118,Reaper_1,S,1,32,37,8,623,50,alive,418,-1,-1,0
1764984118,Reaper_1,S,0,12,25,6,419,103,collision with Hammer_1,26,3,1,0
1764984118,Reaper_1,S,0,8,11,2,182,93,railgun from Rat_5,11,6,11,0
1764984118,Reaper_1,S,1,30,33,8,561,60,alive,149,-1,-1,0
1764984118,Reaper_1,S,0,19,28,8,444,97,collision with Flame_4,92,19,9,0
1764984118,Reaper_1,S,0,7,11,0,177,103,collision with Hammer_5,38,17,19,0
1764984118,Reaper_1,S,1,15,18,8,283,34,alive,349,-1,-1,0
1764984119,Reaper_1,S,1,23,26,8,416,65,alive,266,-1,-1,0
1764984119,Reaper_1,S,1,17,20,5,329,83,alive,138,-1,-1,0
1764984119,Reaper_1,S,0,3,3,0,48,104,collision with Rat_4,8,7,15,0
1764984119,Reaper_1,S,1,23,25,10,382,52,alive,115,-1,-1,0
1764984119,Reaper_1,S,1,22,27,6,466,7,alive,366,-1,-1,0
1764984119,Reaper_1,S,1,30,36,8,626,38,alive,154,-1,-1,0
1764984119,Reaper_1,S,1,42,62,13,1052,20,alive,339,-1,-1,0
1764984119,Reaper_1,S,1,22,23,4,408,56,alive,528,-1,-1,0
1764984119,Reaper_1,S,0,9,11,1,188,102,collision with Flame_3,19,10,11,0
1764984119,Reaper_1,S,1,13,15,6,218,96,alive,461,-1,-1,0
1764984119,Reaper_1,S,1,19,28,6,492,56,alive,390,-1,-1,0
1764984119,Reaper_1,S,1,23,27,6,453,63,alive,308,-1,-1,0
1764984119,Reaper_1,S,0,1,1,0,16,95,collision with Hammer_3,6,1,2,0
1764984119,Reaper_1,S,1,23,31,9,481,55,alive,319,-1,-1,0
1764984119,Reaper_1,S,1,23,25,7,393,20,alive,282,-1,-1,0
1764984119,Reaper_1,S,1,36,36,10,600,32,alive,224,-1,-1,0
1764984119,Reaper_1,S,1,36,37,10,604,52,alive,402,-1,-1,0
1764984119,Reaper_1,S,1,19,19,4,293,17,alive,446,-1,-1,0
1764984119,Reaper_1,S,0,14,15,2,260,101,collision with Flame_6,31,9,11,0
1764984119,Reaper_1,S,1,33,50,11,860,0,alive,297,-1,-1,0
1764984119,Reaper_1,S,0,9,11,0,193,92,collision with Hammer_5,17,1,19,0
1764984119,Reaper_1,S,1,18,23,6,383,45,alive,337,-1,-1,0
1764984119,Reaper_1,S,1,24,24,9,388,15,alive,283,-1,-1,0
1764984119,Reaper_1,S,1,19,29,9,502,0,alive,85,-1,-1,0
1764984119,Reaper_1,S,0,9,14,2,226,104,collision with Hammer_3,24,19,17,0
1764984119,Reaper_1,S,1,27,35,10,585,24,alive,102,-1,-1,0
1764984119,Reaper_1,S,0,8,11,2,196,99,flame,25,6,4,0
1764984119,Reaper_1,S,1,38,39,9,613,28,alive,317,-1,-1,0
1764984119,Reaper_1,S,1,18,34,10,557,58,alive,284,-1,-1,0
1764984119,Reaper_1,S,0,5,6,0,100,99,railgun from Rat_1,4,15,5,0
1764984119,Reaper_1,S,0,2,2,0,31,100,railgun from Rat_5,12,3,16,0
1764984119,Reaper_1,S,1,25,29,7,485,90,alive,321,-1,-1,0
1764984119,Reaper_1,S,0,0,0,0,0,99,railgun from Rat_5,3,1,18,0
1764984119,Reaper_1,S,1,30,41,10,668,16,alive,369,-1,-1,0
1764984119,Reaper_1,S,0,6,8,1,123,96,railgun from Rat_4,7,13,8,0
1764984119,Reaper_1,S,1,30,34,9,577,40,alive,232,-1,-1,0
1764984119,Reaper_1,S,0,4,5,0,83,98,railgun from Rat_4,7,18,8,0
1764984119,Reaper_1,S,0,22,29,8,484,89,flame,66,13,4,0
1764984119,Reaper_1,S,1,18,19,3,338,43,alive,268,-1,-1,0
1764984120,Reaper_1,S,1,17,18,7,261,35,alive,368,-1,-1,0
1764984120,Reaper_1,S,1,27,28,7,450,10,alive,240,-1,-1,0
1764984120,Reaper_1,S,1,11,13,3,228,8,alive,330,-1,-1,0
1764984120,Reaper_1,S,1,29,34,8,555,42,alive,496,-1,-1,0
1764984120,Reaper_1,S,1,33,42,10,678,10,alive,470,-1,-1,0
1764984120,Reaper_1,S,1,31,37,7,599,36,alive,376,-1,-1,0
1764984120,Reaper_1,S,0,15,19,6,301,104,collision with Flame_5,159,7,15,0
1764984120,Reaper_1,S,1,19,20,6,328,76,alive,229,-1,-1,0
1764984120,Reaper_1,S,1,25,27,6,426,6,alive,455,-1,-1,0
1764984120,Reaper_1,S,1,20,22,7,340,5,alive,214,-1,-1,0
1764984120,Reaper_1,S,1,19,22,7,387,17,alive,327,-1,-1,0
1764984120,Reaper_1,S,0,2,3,1,46,98,railgun from Rat_3,10,1,17,0
1764984120,Reaper_1,S,1,35,41,11,657,34,alive,323,-1,-1,0
1764984120,Reaper_1,S,1,12,12,4,189,11,alive,295,-1,-1,0
1764984120,Reaper_1,S,0,13,17,0,301,100,railgun from Rat_1,16,14,13,0
1764984120,Reaper_1,S,1,24,29,4,497,73,alive,350,-1,-1,0
1764984120,Reaper_1,S,1,10,10,1,168,0,alive,268,-1,-1,0
1764984120,Reaper_1,S,1,17,18,5,292,0,alive,404,-1,-1,0
1764984120,Reaper_1,S,0,3,9,0,161,101,collision with Rat_2,6,0,6,0
1764984120,Reaper_1,S,1,13,14,3,223,64,alive,367,-1,-1,0
1764984120,Reaper_1,S,1,23,27,10,453,10,alive,351,-1,-1,0
